QuestionID,Question,Response,AggregatedPercent
1,How much do you trust current centralized systems (where companies store and manage your data) to protect your health information?,3,42.4
1,How much do you trust current centralized systems (where companies store and manage your data) to protect your health information?,2,22.7
1,How much do you trust current centralized systems (where companies store and manage your data) to protect your health information?,1,16.8
1,How much do you trust current centralized systems (where companies store and manage your data) to protect your health information?,4,12.6
1,How much do you trust current centralized systems (where companies store and manage your data) to protect your health information?,5,5.5
2,How much control do you feel you have over your data? ,2,40.8
2,How much control do you feel you have over your data? ,1,23.9
2,How much control do you feel you have over your data? ,3,23.1
2,How much control do you feel you have over your data? ,4,8.0
2,How much control do you feel you have over your data? ,5,4.2
3,How much control do you feel users should have over their own health data?,5,58.0
3,How much control do you feel users should have over their own health data?,4,26.9
3,How much control do you feel users should have over their own health data?,3,13.4
3,How much control do you feel users should have over their own health data?,2,1.3
3,How much control do you feel users should have over their own health data?,1,0.4
4,How concerned are you about health data privacy?,4,28.2
4,How concerned are you about health data privacy?,5,23.9
4,How concerned are you about health data privacy?,3,23.1
4,How concerned are you about health data privacy?,2,18.9
4,How concerned are you about health data privacy?,1,5.9
5,"Do you or did you use connected health devices (e.g., smartwatch, garmin device, apple device, … fitness app tracker, smart scale, sport wrist band, strava, …)?",Yes,57.6
5,"Do you or did you use connected health devices (e.g., smartwatch, garmin device, apple device, … fitness app tracker, smart scale, sport wrist band, strava, …)?",No,42.4
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",Not Applicable,57.6
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",No need,24.8
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",No specific reason,3.4
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","No need, Privacy",2.9
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",Privacy,2.5
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Cost, No need",2.1
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Cost, No need, Privacy",2.1
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",Cost,0.8
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Complexity, No need",0.8
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Complexity, Privacy",0.8
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Complexity, Cost, No need, Privacy",0.4
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",Complexity,0.4
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Cost, Privacy",0.4
6,"(non-users only) Why don’t you use connected devices? 

select all that apply","Complexity, Cost, Privacy",0.4
6,"(non-users only) Why don’t you use connected devices? 

select all that apply",Too distracting,0.4
7,What brand / app / ... do you use ?,Not Applicable,42.4
7,What brand / app / ... do you use ?,Apple,16.4
7,What brand / app / ... do you use ?,Garmin,8.8
7,What brand / app / ... do you use ?,Other device,6.7
7,What brand / app / ... do you use ?,Fitbit,2.9
7,What brand / app / ... do you use ?,Health Apps,2.5
7,What brand / app / ... do you use ?,Xiaomi,2.5
7,What brand / app / ... do you use ?,"Apple, Samsung",2.5
7,What brand / app / ... do you use ?,Strava,2.1
7,What brand / app / ... do you use ?,"Apple, Garmin",1.7
7,What brand / app / ... do you use ?,Polar,1.7
7,What brand / app / ... do you use ?,"Garmin, Strava",1.3
7,What brand / app / ... do you use ?,Huawei,1.3
7,What brand / app / ... do you use ?,"Apple, Strava",0.8
7,What brand / app / ... do you use ?,Oura,0.4
7,What brand / app / ... do you use ?,"Apple, Health Apps",0.4
7,What brand / app / ... do you use ?,"Fitbit, Strava",0.4
